Lexem,Genus,Worttrennung,IPA,Wortart,Nomen
Modul,nff,Mo·dul,moˈduːl,Substantiv,TRUE
Modul,mff,Mo·dul,moˈduːl,Substantiv,TRUE
Modul,mff,Mo·dul,ˈmoːdʊl,Substantiv,TRUE
,fff,Ko·ry·phäe,ˌkoʁyˈfɛːə,Substantiv,TRUE
,mff,Ko·ry·phäe,ˌkoʁyˈfɛːə,Substantiv,TRUE
China,nnf,Chi·na,ˈçiːna,Substantiv,TRUE
China,fnf,Chi·na,ˈçiːna,Substantiv,TRUE
China,fnf,Chi·na,,Substantiv,TRUE
Kölsch,nmf,Kölsch,kœːɫʃ (Kölsche Aussprache),Substantiv,TRUE
Kölsch,mmf,Kölsch,kœːɫʃ (Kölsche Aussprache),Substantiv,TRUE
Kölsch,mmf,Kölsch,kœlʃ,Substantiv,TRUE
Plebs,fmf,Plebs,pleːps,Substantiv,TRUE
Plebs,mmf,Plebs,pleːps,Substantiv,TRUE
Plebs,mff,Plebs,pleːps,Substantiv,TRUE
Plebs,mff,Plebs,plɛps,Substantiv,TRUE
Ladino,mmf,La·di·no,laˈdiːno,Substantiv,TRUE
Ladino,{{Deutsch Name Übersichtn}}mf,La·di·no,laˈdiːno,Substantiv,TRUE
Ladino,{{Deutsch Name Übersichtn}}mf,La·di·no,ˌlaˈdiːno,Substantiv,TRUE
Sie,mff,{{kSg.}},ziː,Substantiv,TRUE
Sie,fff,{{kSg.}},ziː,Substantiv,TRUE
Sie,fff,Sie,ziː,Substantiv,TRUE
Sie,mff,Sie,ziː,Substantiv,TRUE
Band,nnf,Band,bant,Substantiv,TRUE
Band,mnf,Band,bant,Substantiv,TRUE
Band,fnf,Band,bant,Substantiv,TRUE
Band,fnf,Band,bɛnt,Substantiv,TRUE
Band,nnf,Band,bɛnt,Substantiv,TRUE
Gang,mnf,Gang,ɡaŋ,Substantiv,TRUE
Gang,fnf,Gang,ɡaŋ,Substantiv,TRUE
Gang,fnf,Gang,ɡɛŋ,Substantiv,TRUE
Kapo,mff,Ka·po,ˈkapo,Substantiv,TRUE
Kapo,fff,Ka·po,ˈkapo,Substantiv,TRUE
Kapo,fff,Ka·po,,Substantiv,TRUE
Mal,nnf,Mal,,Substantiv,TRUE
Mal,nnf,Mal,maːl,Substantiv,TRUE
Altai,mnf,Al·tai,alˈtaɪ̯,Substantiv,TRUE
Altai,mnf,Al·tai,,Substantiv,TRUE
Assi,mnf,As·si,ˈazi,Substantiv,TRUE
Assi,mnf,As·si,ˈasi,Substantiv,TRUE
Formel,ffn,For·mel,ˈfɔʁml̩,Substantiv,TRUE
Humor,mfn,Hu·mor,huˈmoːɐ̯,Substantiv,TRUE
Humor,mfn,Hu·mor,ˈhuːmoːɐ̯,Substantiv,TRUE
Raketenschnellboot,nfn,Ra·ke·ten·schnell·boot,ʁaˈkeːtn̩ˌʃnɛlboːt,Substantiv,TRUE
Raketenschnellboot,nfn,Bun·des·ver·fas·sungs·ge·richt,,Substantiv,TRUE
